Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,7h,,0,0,5,Chauffeur pois lourd,Non,Non,Oui j'ai le brevet ,Non,Mon projet c'est d'intégrer l'école enac pour réussir mon rêve de pilote ,Oui,Français/ maore,Oui,"Oui j'ai accès a internet, presque tout","Vecteur, mais j'ai toujours des difficulté ",
14.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,1h,,2h,2h,5,Chef d’entreprise ,Oui,Non,Collège kaweni 2,Oui j’ai une baisse de moyenne ,Allez à l’université pour espérer avoir un diplôme ,Non,Le malgache et le shimaore ,Oui,Oui . 2-5,Les statistiques 📊 parce que je trouve sa interre,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,4h,,2h,4h,5,Ma mère travaille comme animatrices et mon je ne c'est un professeur de technologie ,Oui,Non ,Dans le collège kaweni 1,Non,Je ne sais pas encore ,Non,Le shimaorer,Oui,Oui je ne sais pas peux être 24/24,Je ne sais pas trop ,
17.0,Lycée des Lumières,Première,Commune de Mamoudzou,1h,,30 min,3h 30,5.5,Mon père travail dans la logistique,Non,Non,Au collège Kawéni 1,Oui. J'ai régressé en français et en maths.,Je voudrais en trer dans une IUT puis faire l'école de médecine. Spécialité maths.,"Non car dès le jeune âge je maîtrisais le français et pourtant, je ne comprend pas certaines consignes en maths.",Shimaorais et Kibushi,Oui.,Oui. Moins de 10.,"J'ai retenue la leçon sur les multiples de 2,3,4,5 et 10. Mon professeur était âgé et nous aimions l'embêter alors on n'apprenais pas nos leçons pour l'énerver . Du coup, j'ai aimé ce cours.",
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,2h,,2h,3h,1,mère sache femme ; père travaille a COLAS,non,non aucune,au collège kaweni 2,non,je sais pas encore,non,le chimaorais,non,non j'ai pas accès a linyernet a la maison beaucoup de nécessitait pour les devoirs,deux,
15.0,Lycée des Lumières,Seconde,majicavo / tsingoni,2h,,3h,2h,10,oui mon père en tant qu'ageant  de sécurité,non,oui anglais,au collège de majicavo ( mayotte ),non,ST2S,non,le malgache: chibouchi,oui à MTSAMBORO,"Non , 1à3 devoirs",j'aime bien les équation et les ensemble car c'est pas compliqué ,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,30 min,,3h,1h,"4,5/10",mes parents travaille. ma mère est assistante et mon père est un agent d'administration.. ,non,"un peu oui, surtout on Français, anglais, math. ",j'ai obtenu mon brevet au collège K2 ( kawéni 2),oui j'ai appris à aimer les maths malgré les difficultés.  ,"une fois le bac obtenu j'aimerais faire le métier de mes rêve qui est sage-femme. donc je vais prendre les spécialité Mathématiques, SVT et Physique Chimie.",pour moi je dirais que sa on fais partie.,ma lange maternelle c'est le Shimaoré et le Français ,oui ,oui. la moitié de mes devoirs nécessite une connexion internet ,aucune ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,7h,,21h,5h,3,non chomeur,non,pas vraiment,au collége majicavo lamir,non il n'y a pas eux de chagement reel,je veux m'orienter dans la chémologie,oui mes dificulter vienne surtout de m'a compréhension de la langue francaise baucoup,le shimaoré,oui,non j'ai pas accer a internet j'ai entre 2 et 3 devoirs a faire a la maison devoir a faire ,ce que j'ai retenu et la Trigonometrie sa ne signifie pas que je n'aime pas mais c dur a suivre,
18.0,Lycée des Lumières,BTS,Commune de Mamoudzou,2h,4,4h,3h,5,Sans ,Non,Non,Kaweni collège,Pas grand chose,Université de commerce,Oui,Chimaore,Oui,Pas tout le temps,Les formulaires,
17.0,Lycée de Dembéni,Première,Commune de Pamandzi,1h,7,1h,4h,7,Non,Non,Non,Brevet et bientôt le bac,J'ai grandis ,"Apres le bac, suivre des études de droits/hggsp,s'est maths pour les spé ",Non,Chimaoré,Non ,Oui j'en ai accès librement et c'est  environ 4 à 5 devoirs ,Les maths je peux les oublier très vite comme je peux men rappelé très vite aussi avec un peu de pratique  voilà pourquoi je les aimes ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,1,10h,0,7,SERVICE TECHNIQUE LES DEUX PARENTS,NON,NON,PAS ENCORE PASSE,OUI,DIRECTEMENT CHERCHEZ DU TRAVAIL,NON,MAHORAIS,OUI,NON,LES CALCULES MENTALE,
11.0,Collège de Ouangani,Sixième,Commune de Ouangani,1h,10;9;8,1h,2h,bah 9,oui ,oui,oui,je pense oui,oui les salle,euh... on va voir sa avec mes parents,n oui,français,oui,oui et ,des pèrimetre,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1 h,10,1h,2h,10,Non ,Non,Non,oui,oui j'ai évoluer,je sais pas encore,non,kibouchi,oui,oui,les nombres relatifs,
14.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,5,2H,1,8,ramassage des poubelles,oui,non,oui,non,non,non,français,oui,non,addition,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,4h,8,1H,3,9,mère femme de mènage,non,non,je suis en 5 eme,non,je ne sais pas,non,mahoraise,oui,non,se mettre en colère,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,2h,10;9,1h,2h,100,ma mére est bibliothequaire,non,non,oui je vais l avoir.,non,restauration hoteleriie,non,fraçais,non,oui 5g,je ne sais pas,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,2,0,8,soudure,non,non,non,non,non,non,shimaore,non,non,multiplier,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,2h,7,2h,1h,6,non ,non,oui en phisique chimie,je sais pas,non,je sais pas,non,shimaore,oui,oui,les fraction ,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1H,10;6;5,4,10,1,ACM,NON,OUI,NON,NON ,sage femme,oui,chimaoré,non,oui,fractions,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1h,9,1h,1h,satisfsants,je sais pas,non,oui,non,non ,je ne sais pas,oui,chibuchi,oui,oui,les fraction,
15.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,7,1h,10,8,OUI,OUI,NON,NON,non,militére,non,shimaoré,oui,oui,franctions,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,4,4H,2,4,mécaniten,oui,non,oui,non,non,non,shimaore,oui,non,je sais pas,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1 h,7,1 h,1h,4,femme de ménage et ouvrier,non,non,non,non,non,oui,shimaore,oui,oui,multiplication,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,3H,2,7,Oui mes parents travail.Oui mon père fait sécuriter ma mère travaille médiatrise ,Oui ,Svt et sience et françai,Non je suis en 5ème ,Non ,foot balleur ,Non ,Shimaore,Oui ,Oui,Multiplication Addition ,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1h,10,2 h,1h,moyen.,oui  mon père travaille pour les maison et ma mère cherche.,non,non,OUI,NON,NON,NON,francais  et mayotte,non,oui ,Calcule litérale parce que j'adore le faire.,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,4h,9,1h,2h,9,masson ,oui,non,non,non,je ne sait pas,oui,chi maoré,oui,non,addition,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,2,0,0,1,oui ma mère,non,oui,je sais pas ,oui,pompier,oui,shimaoré,oui,non,fraction,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,15h,9,3 h,0,Moyain,Non,Non,Non,Oui,Non,Non,Non,shimaore,oui,oui,ADDITION,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,3h,8,3h,4h,8,non,non,phisique chimique,je ne sais pas,oui,non,non,français,oui,oui,les additions ,
11.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1h,10,20 min,50 min,10,oui mére agent d'acceuill,non,phisique chimie,je suis en 5éme,oui,je suis en 5éme,non,shimaoré,oui,oui ,addition,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,2 h,8,3 h,1 h,8,surveillent,non,non,je suis en 5 E,NON,NON,NON,Français,non,oui,"scratch, additions, multiplications",
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,1H,1H,2,OUI  MENAGE,NON,OUI,NON,NON,JE NE SAIS PAS,OUI,CHIMAORE,NON,NON,SCRATCH,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,7,3h,1h,5,nn,nn,"nn , Maths",college de ouangani,"oui,j'ai beaucoup appris",personnelement je sais pas j'y reflechis toujours,non,mahorais,oui,"oui , je sais pas",j'aime pas parce que je comprend rien du tout ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,1,0h,0h,fragile,entrepreneur,non ,physique chimie,je sais pas,non ,dileur ,non ,shiboushi,oui ,oui , théorème de pythagore ,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,5h,9,2h,6h,9,"non , ils ne travaille pas ",oui,non,moi pas encore,non,"études de dentiste , mathématique",oui effectivement,le shimaoré,non ,non ,le théorème de phytaguore,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,15min,9,2heur,15min,9 satisfesant,entreprise ,non,non,oui ,non,bac+12  chirugie,non, shiboushi,oui,oui,théorème ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,3 h,5,1 heure,4 h,5,"non, parent au foyer",non,"oui math, svt, phisyque  chimie",je sait pas encore  mais je l espere,non , mon projet est de continuer avec du BTS  et insi de suite,"non , mai la façon dont on m explique",le shimaore,oui,"oui ,3",les calculs,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2h,8;19,4heure,2h,8,oui ils travail,non,non,oui,non,edu soignante,non,shimaorer,oui,oui,j comprent rien en math,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,10;15,5 heure,,15,ils travail pas,non,oui,"non, pas encor","oui ,il y a des changement",je voudrai etre gendarm ou police,non,le chimaoré,"oui ,mai pas vraiment",non,ont na pas encor de maths,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,15min,9,15min,15min,9 satsfesant,entrepris,non,non,oui,non,bac+12 chirurgie,non,shiboushi,oui,oui,les théorèmes ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2h,5,1h,1h 6,5,non,oui,"oui math , francais,svt,anglais,phisique-chimie",oui,non,je souhaite être pompier feu,non, shimaoré,oui,non,il nous explique tout,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,5h,8,2h,6h,8,"oui, massonier",non,non,"non ,pas encore","oui , j'ai changé de département",mannequin,non ,le malgashe,non,non,les triangles semblables,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2 h,6;4;2,3 h,1h,4 à 6,institutrice ,non,"non, maintenant oui en francais",Jespère l'obtenire,non,"J'aimerais voyager dans un autre pays pour aller poursuivre mes études, Bac Pro.",non,Le Maoré,oui,OUI ,les pitagore,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,5,1h,30 min,5,oui fonctionnair ,non,non,non,non,je sais pas,non,shimaore,oui,oui 2,theoreme de pytagore il y a beaucoup d'etape,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2h,3,3h,2h,5,"Oui, instituteur, Conseillère à l'ADI.",Non,Non.,J'espère l'obtenir. ,"Oui, j'ai appris beaucoup de choses. ","Une fois le bac obtenu j'aimerais etre en école d'infirmier, Bac général.",Non. ,Le Mahorais.,Oui.,"Oui, j'ai accès a internet chez moi, plusieurs devoirs.",J'en ai retenue aucun.,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,3 h,8;12,6 h,5 h,9,non,non,no n,oui,non,sage femme,non,shimaoré,oui,non,des fraction,
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,16 h,7;5,16 h,15 min,7,non,non,non,je ses pas,non,bag+12,non,chimaoré,theoreme de pitagore,non,j aime pas parceque c est conpliqué,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,10;20,1h,1h,5à6,non,oui,"oui en svt ,français ,anglais et phisique-chimie",oui,oui,je souhaite être productrice,non,le chimaoré,oui,non,les fraction,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,30 min,9;8,30 min,30 min,9,oui il travail .  masson,non,non,non,non,je sais pas,non,shimaore,oui,oui 1,jais rien retennu,
12.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,2,4h,3h,sur une échelle de 2,"Oui, Femme de ménage en salle de hip-hop.",Non,"Oui, je comprenait pas.",J'espère.,J'ai évoluer de plus en plus.,Continuer mes études. ,Non.,Le Mahorais., Oui.,Non. 3devoirs.,Les calculs ,
22.0,Lycée des Lumières,1mcvAPP,Commune de Koungou,2h 3h,6,2h,2H,6 à 8,"Non, il font rien ",Non ,"Oui, maths et français ",Aux collèges k2,Changement comment pas bien compris la question,Ce de continuer mes études ou si on me propose un CDI je contunierais de travailler pour m'occuper  de moi et de ma fille et de mon avenir.,Oui un peut ,Ce shimahorais ( Mayotte),Oui,Oui,Je ne se pas encore,Pas bien compris
16.0,Lycée de Dembéni,Terminale,Commune de Mamoudzou,0,5,0,0,5,Fonctionnaires ,Non,Non,Oui,Oui de bon résultat ,Pentester ,Non,Français ,Oui,Oui,Une flemmardise ,Plus d’enseignement sur l’informatique serait nécessaire 
17.0,Lycée de Dembéni,Terminale,Commune de M'Tsangamouji,0 h,5,1 h,0 h,4,Enseignante / éducateur à l’insertion au travail ,Non,Non,Au collège de M’Tsangamouji ,Je m’intéresse plus à la littérature ,"École tourisme, actuel spe ses et hggsp + option dgemc ",Non,Shibushi,Oui ,"Oui, là majorité ",Théorème de thales,Il suffit d’avoir un bon prof pour un élève qui veut apprendre pour bien comprendre. Mais après l’investissement de l’élève peut en effet changer la donne 
17.0,Lycée Younoussa Bamana,Terminale,Commune de Mamoudzou,0,5,1,2,5,Oui restauration ,Non,Oui histoire géographie ,M'Gombani ,Oui en management ,Mercatique faire un bts management commercial opérationnel ,Non ,Mahoraise,Oui,Oui beaucoup ,Pythagore Pythagore on joue avec les nombre,Neutre difficile 
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,1 h,7,0,8 h,7,ATSEM,Non ,"Oui , en physique ",Oui,"Oui , au début j’étais plus attiré par les matières scientifiques maintenant je suis plus attirer par les sciences économiques et par la géopolitique ",Aller à l’université pour fait un master AES . Mes spécialités: Maths / HGGSP/ SES,Non ,La Shimaoré ,Non ,Oui . Pratiquement tout ,La trigonométrie. J’aime cette notion car c’est celle qui m’a paru le plus facile ,Hyper passionnant mais trop stressant 
18.0,Lycée de Dembéni,Terminale,Commune de Dembeni,0,6,0,1,6,Fonctionner,Non,Mathématique spécialités ,Dembeni,"Oue , mon manque de confiance ",Faire de la Géographie ,Non,Le français,Oui,Oui et plusieur devoir 1/2,"Les fractions , ",J'ai perdu mon esprit mathématique par manque de confiance en moi 
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,7,0,0,7,oui,non,non,pas encore,non,je sais pas encore,non,le shimaore,oui,non,les calculs,depuis la sixième les profs de math que J'ai eu mon bien enseigner les cours et je crois de demain j'aurai une belle vie grâce au mathématique je remercie tout mes profs de maths merci a vous !
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,9,0,0,9,oui ils travaillent . pere EDM mere EDM,non ,non au contraire , je suis en 4éme mais je suis confiant et suis sure d'avoir mon brevet,non ,je vais essayer de faire mon entreprise après mes années d'études ,je n'ai pas de difficulté en math ni en science,Mahorais ,oui,oui j'ai accès a internet . 5 ou 10 ,les multiplications sa aides beaucoup dans la vie ,"Ils faut adapter ou aider les personne en difficulté selon leurs class qu'importe l'age ( cours particulier , cours de soutiens etc... )
"
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0 h,4,0 h,0 h,4,caissiere/vendeuse et magasinier,non,"    oui, physique chimie","non,je suis en quatrieme",non,BAC general sage femme ou ginecologue je suis au college,non,kiboushi et  kimaore,ouais,"oui, 0 devoirs necessitant une connexion",rien,pas compris
13.0,e15,Quatrième,Commune de Ouangani,1h,8,2h,1h,5,il fait pas,non,anglais francais maths,pas encore,non,fair de metier ,francais,lague mahorais,oui,je pas de internet che moi,le geographi,je c'est pas
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1 h,5,2 h,0,5,ma mere est professeur ,non,en math,je suis en 4 eme,oui,Bac general,non,le mahorais,oui,oui 6 exercices,j aime les math car j aapprend beaucoup de choses,j aime etudier les math est apprendre beaucoup de choses
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,4 h,9,2 h,1 h,9,"oui ils travaillent , ma mère est enseignante et mon père est gestionnaire",non,non,non,non y'en a pas,continuer mes études de médecine,non elle ne sont pas liées à ça,ma langue maternelle shimaoré,oui je suis née  sur le territoire de mayotte,"oui , 1 devoirs faits nécessitait une connexion.",aucune,J'ai pas compris vous pouvez reformulez la phrase s'il vous plait.
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0H,1,0,1,JE SAIS PAS,"OUI,JE SAIS PAS ",NON,"OUI ESPAGNOL,PHISIQUE CHIMIE ET MATHS",NON JE SUIS EN 4éme,"oui, j'ai appris des choses que je connaissais pas",BAC PRO (chef cuisinière),non les profs ne savent pas expliquer,MAORE,OUI,"OUI,0 devoir","addition, c'est plus facile",c'est difficile WESH
16.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,3,3,4,3,non,non,oui maths,pas encore,non,pas encore,non,le shimaore,oui,non,calculs mentals,"je sais pas
"
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,3,0,0,3,ne travaillent pas,non,non,non je suis en 4éme,non,pompier,non,shimaorais,oui,non,l'additions.C'est plus FACILE QUE LA MULTIPLICATIONS,NON
14.0,e15,Quatrième,Commune de Ouangani,3h,10,3h,1h,je de difuculte,me parents travail pas,non,anglais. physique. francais,je su an 40eme,non,je su an 40eme,anglais,je pas,non,non je pas de connexion,divition,non
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,5,1h,2h,3,non,non,oui mathematique et physique-chimie,college de ouangani,oui mon niveau baisse,je vais faire concoure de gendarmerie,",",chibouchi,oui,oui,j'ai retenu les calcules  ,","
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,3 h,5,1 h,4 h 4,4,je sais pas,oui,français Anglas Maths espagnol,college de Ouagani,oui et je sais pas ,je sais pas,non,le shimaoré,oui,non,oui,.
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,5,10h,5,8,oui ils travaillent,non,non,college de ouangani,non,je veux créer un entreprise,non,le chimaore,oui,oui j'ai accès à internet,les puissance je l'aime car c'est simple,j'ai rien à redire sur le système
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2h,4,4h,7 h,5,non,non,non,college de ouangani,oui ,avoir mon propre salon de maquillage,non,shimaore,oui,oui 1heures,je trouve que ses trop dificile ,0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,5,1H,2H,5,TRAVAILLE PAS,NON,OUI MATH ET PHYSIQUE,NON JE SUIS EN 4°,OUI LES MATIERES,BAC GENERAL MEDECIN,oui,ma langue maternelle c'est le chimaorais,non,non,j'aime pas les fraction,c'est bien mais parfois difficile 
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,11h,10;9;8;7;6;5;4;3;2;1;ving douze,1h 00,,mon iveau et de 100%,EMTRYPRISSE de papion,non ,oui mon pertry ,bien amigo                                                ,en france et la belgyque,mai progès pour mon bac ses de  faire une emtriprisses porno,mavouzie,chinoi,je suis nai en belgyque,oui je reguarde des poire,nuculaire,comment detruire le monde
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,7,1h,45min,7,non,non,oui mathe et physique chimie,college de ouangani,oui ,bac general infirmiere,oui,la langue mahorais,non,oui 3,je n'aime pas les expressions litteral,c'est tres difficile
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2h,10,1h,2h,10,electriq,oui,l'histoire ,j'aimrai oui,oui,etre sécurite ,apeupre oui,francais,oui,non,les fraction,oui
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2h,4,2h,2h,5 ou4,non,non,mathematique et physique chimique,college de ouangani,non ,pompier,non,shimaoré,oui,non,oui je l'aime,.
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0 h,7,1 h,1 h,7,non,non,mathematique et phisique_chimi,college de ouangani,non,je ne c' est pas,non,chimaore,non,non j'ai pas internet,théorème de phytagore,difficile
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2H,10,7h,5,10,NON,NON,TECHNO,NON,7,NON,MAYOT,PION,NON,OUI,OUI,NON
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,5min,3,25min,1h 00,5.,Mon père et un fonctionnaire Ma mère et commerçant,non,non,Collège de ouangani,non,Je vais continuer mais étude ,non,malgache français mahoraise,oui mamoudzou,oui(Je sais pas),Un peux beaucoup.,C'est trop dure pour expliquer maintenant.
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,10min,5,40 min,50 min,4,il travail ,non,non,collégede ouangani,non,je sais pas,non,mahoraise,non,non,rien,mathématique je aime bien
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,1,1 h,1h 30,1,oui et courier DRH,non,oui en math,collège de Ouangani,oui en Français,maitre chien,non,malgache et shimaoré,oui,oui et que 3 ou 4,j'aime pas car je comprend rien,"j'aime pas les maths , le physique chimie car je comprend rien et les autres j'aime bien"
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,2H,5,1h,4h,05 sur 10,oui ,non,oui en mathématique,oui,non,bac prod,oui,chimaoré,oui,oui,c'est difficile mais je ne comprend pas ,oui
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,5,1H,2H,4,NON ILS TRAVAILLENT PAS,NON,OUI ON MATHEMATIQUE,NON JE SUIS ON 4°,OUI JE COMMMENCE A BIEN COMPRENDRE QUELQUE MATIERE ,BAC PRO POMPIER,OUI,le comorien,non,non,les clcul,l'histoire
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,2h,7;5,2h,2h,5 à7,Pas travail,Non,Non,Collège de passamainty ,"Oui,plus de travail ,c est à dire plus de devoirs. De plus, on monte du niveau au plus il ya du travail. ",Etude supérieur ," oui un peu 
",Le schimaoré,Oui,"Non ,j ai point accès a internet. Ô plus 5 .",La réciproque du théorème de Pythagore car il ya des choses qui doivent être réciproque afin que sa marche. ,Le monde a besoin des maths car partout il y les maths  .
17.0,Lycée Younoussa Bamana,P18STI2D,Commune de Mamoudzou,5H,6,5h,3h,12,non,non,oui LV1 ET LV2 ET FRANCAIS,koungou,je suis de plus en plus investie ,université,non un peux,maores,oui,je ne sais pas,il mait permet de faire des truc que j'aime, je pas compries
17.0,Lycée des Lumières,Terminale STMG,Commune de Mamoudzou,0,9,2h,4h,8,Ils travaillent pas,non,Non,En classe de 3ème au collège kawéni 2,Oui mes moyennes générales sont plus haut que ceux du collège,Faire 3ans d'études en BTS comptable. Bac technologie Gestion Finance,Non,Ma langue maternelle depuis toute petite que mes parents m'ont appris c le français mais comme je vis à Mayotte je le parle aussi. Je parle plus le Français que le Mahorais,Oui,Oui j'ai une connexion internet à la maison,Les suites je l'aime ,expression
